episode,policy,slot,total,success,failed,avg_retries,reward
1,random,10am,10,2,8,2.1,-0.9264754903771608
2,random,10am,10,2,8,2.1,-1.5428190865066127
3,random,10am,10,2,8,2.1,-1.9553683571216212
4,random,10am,10,2,8,2.1,-1.5352472765734118
5,random,10am,10,2,8,2.1,-4.032689205977906
6,random,10am,10,2,8,2.1,-2.3260565458489366
7,random,10am,10,2,8,2.1,-3.3849632546534636
8,random,10am,10,2,8,2.1,-4.000693394217628
9,random,10am,10,2,8,2.1,-2.5193221030296864
10,random,10am,10,2,8,2.1,-1.1433860131078788
11,random,10am,10,2,8,2.1,-2.3237115652172102
12,random,10am,10,2,8,2.1,-1.4143933779238373
13,random,10am,10,2,8,2.1,-5.368507717070148
14,random,10am,10,2,8,2.1,-3.3880395891943924
15,random,10am,10,2,8,2.1,-2.2465571215169375
16,random,10am,10,2,8,2.1,-2.235086609795718
17,random,10am,10,2,8,2.1,-2.249415760961646
18,random,10am,10,2,8,2.1,-3.133901683773243
19,random,10am,10,2,8,2.1,-1.528672180779234
20,random,10am,10,2,8,2.1,-2.9179637183141276
1,both_only,both,10,10,0,1.0,8.238948290249452
2,both_only,both,10,10,0,1.0,8.67715791481892
3,both_only,both,10,10,0,1.0,8.18535427186568
4,both_only,both,10,10,0,1.0,8.844686799205515
5,both_only,both,10,10,0,1.0,8.471851838126454
6,both_only,both,10,10,0,1.0,8.924402905038933
7,both_only,both,10,10,0,1.0,9.015606683712699
8,both_only,both,10,10,0,1.0,7.959052435641761
9,both_only,both,10,10,0,1.0,8.675734557046917
10,both_only,both,10,10,0,1.0,7.951740628145688
11,both_only,both,10,10,0,1.0,7.733790904592526
12,both_only,both,10,10,0,1.0,8.51318961951422
13,both_only,both,10,10,0,1.0,8.481879439137167
14,both_only,both,10,10,0,1.0,8.055767901246897
15,both_only,both,10,10,0,1.0,7.833190732101164
16,both_only,both,10,10,0,1.0,9.249595123956185
17,both_only,both,10,10,0,1.0,8.201554798504969
18,both_only,both,10,10,0,1.0,8.39074203884678
19,both_only,both,10,10,0,1.0,7.97066308502221
20,both_only,both,10,10,0,1.0,8.018248738390303
